t,x,z
5,3.1356649077361545,10.910723379639263
10,6.3973635254375765,15.385991967459157
15,10.269641725798,18.593375846490762
20,15.09787868486605,20.954841740539322
25,20.601845133694013,22.00003060017491
30,26.136686780480602,22.16385146881708
35,32.11292455750754,21.31925457975558
40,38.28722975573623,19.68179268349977
45,44.35159591153876,17.59522528045708
50,50.623269591355964,15.028531895397382
55,57.21006492724343,12.232752842920519
60,64.60268948340743,8.748306978029635
65,72.01739315365089,5.581719751338246
70,79.8901775153442,2.3383259439277966
75,87.96115155170718,-0.9969360994887237
80,96.4773399725576,-4.4270055061924465
85,104.88361821049607,-7.975865218729917
90,113.77142188516027,-11.946417078203567
95,122.74182876632541,-16.173149469765093
100,131.75953768824724,-20.810569284293692
105,140.9581086357861,-25.687926912435096
110,150.25195299467882,-30.98701882808198
115,159.06438536760172,-36.18055807388364
120,168.41137452986555,-42.00599948937296
125,177.51471757530965,-47.883437896441094
130,186.40042956213208,-53.705304645021215
135,195.44925852092177,-60.027175619478164
140,204.71180637209963,-66.63451662703176
145,212.5412116708792,-73.16329300091394
150,220.67157923115332,-79.7955211884188
155,229.3652641384526,-86.78689494249903
160,238.15254231897777,-94.15117903823037
165,246.84622407245223,-101.4504392483248
170,256.02499058777914,-109.46412447351638
175,264.9816286501504,-117.13800918172963
180,273.99879013890006,-125.23852102779169
185,283.0750743755375,-133.84062851894925
190,285.19404197491974,-138.22395535889865
195,289.1265534542327,-144.11288805494297
200,293.811953409533,-148.33825595851238
205,303.86319760145534,-156.81592171886527
210,313.7462459674133,-165.50149111934124
215,325.10518277374325,-176.34709202272475
220,338.550431327722,-187.19435235569904
225,353.6347141111298,-201.94916077083366
230,354.85402107095416,-203.86266178561033
235,362.5192061062319,-211.77850844309427
240,372.80136275942135,-222.35355830443225
245,381.74733750262146,-231.60007670882493
250,391.0925091775643,-240.95213275964988
255,402.9127097575399,-251.3715462632204
260,416.72934991827566,-262.3944682993614
265,425.28781008344146,-269.7760837555636
270,435.76165983813513,-277.4280974666589
275,446.18884196313377,-284.6388904530135
280,456.51506518812914,-294.14135936880945
285,467.8606181243128,-302.3484140195836
290,476.26508870363415,-309.67859637895464
295,486.6683206464172,-319.1684456159258
300,496.60608703912476,-327.807119154137
305,505.2353203695284,-335.6361190791238
310,516.3311842338081,-346.0257227834549
315,529.4944955800004,-357.68004726840053
320,540.5757234756786,-367.93680516950974
325,549.9243617126431,-376.8557855268269
330,559.2996396314339,-384.701148869763
335,568.9554535855837,-393.03229722182175
340,579.3300997178521,-400.25600418701555
345,588.7003633609037,-408.13480188801464
350,599.1071482277963,-417.9238509063621
355,609.3158711858697,-426.9658586898063
360,618.9118519033777,-435.95402222518305
365,628.8617160013289,-445.238487819081
370,639.1895501669109,-455.16871589247256
375,646.0013740318004,-462.2747398071111
380,654.4512507994718,-471.0301659468992
385,662.140942928602,-478.985581314187
390,668.5715549345618,-486.38385489835514
395,678.03573763846,-494.10790813937535
400,688.0478102814718,-501.12377405047647
405,697.392769030645,-507.0283180256936
410,709.1505660373032,-518.2330802940699
415,722.173012964506,-530.8986302864847
420,729.1001481926921,-537.7148875804131
425,738.5447536736572,-545.1143965875597
430,744.6843587323167,-550.4567445685003
435,756.4181563510082,-560.90574620626
440,769.9570974362415,-573.4859764727753
445,787.8623473963868,-588.5222138082023
450,796.7496249120054,-596.4491386021526
455,803.9148981388096,-604.7821797062462
460,812.9362735915923,-612.4805973931235
465,821.1715673345199,-621.549714529109
470,830.8735189921979,-628.4044167864519
475,841.643396646235,-638.6812704439727
480,846.5365748592861,-639.3760165206925
485,852.3954548005149,-644.1550571581546
490,860.8058419222787,-652.1393362880751
495,870.9741196858977,-658.8216397372772
500,877.3639786986494,-665.2182278258247
505,893.0337292712479,-674.202111780437
510,903.4992564062763,-680.5451521293464
